,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,Timestamp
0,-10518,-3692,-30912,-39,689,389,1574277284600.0
1,-10507,-3663,-30899,-91,676,361,1574277284600.0
2,-10481,-3716,-30833,-107,662,305,1574277284600.0
3,-10430,-3783,-30810,-92,673,269,1574277284600.0
4,-10416,-3808,-30818,-14,711,221,1574277284600.0
5,-10381,-3867,-30841,79,754,187,1574277284600.0
6,-10275,-3873,-30858,134,769,194,1574277284600.0
7,-10201,-3935,-30897,135,766,240,1574277284600.0
8,-10168,-3985,-30921,141,762,312,1574277284600.0
9,-10163,-3916,-30910,171,713,364,1574277284600.0
10,-10150,-3664,-30871,151,645,420,1574277284600.0
11,-10130,-3493,-30899,-14,562,429,1574277284600.0
12,-10139,-3492,-30888,-254,495,383,1574277284600.0
13,-10161,-3666,-30941,-420,436,306,1574277284600.0
14,-10225,-3778,-30943,-491,392,197,1574277284600.0
15,-10219,-3822,-30929,-480,351,79,1574277284600.0
16,-10214,-3852,-30867,-450,329,9,1574277284600.0
17,-10188,-3957,-30778,-446,311,4,1574277284600.0
18,-10195,-4033,-30751,-415,319,16,1574277284600.0
19,-10139,-4091,-30773,-326,325,58,1574277284600.0
20,-10132,-4064,-30727,-224,334,114,1574277284600.0
21,-10145,-4057,-30760,-124,334,159,1574277284600.0
22,-10154,-4041,-30727,-35,355,186,1574277284600.0
23,-10162,-3910,-30677,72,399,195,1574277284600.0
24,-10146,-3698,-30642,175,431,160,1574277284600.0
25,-10112,-3354,-30580,151,436,154,1574277284600.0
26,-10098,-3262,-30631,-91,396,127,1574277284600.0
27,-10019,-3483,-30697,-399,330,102,1574277284600.0
28,-10028,-3752,-30737,-550,255,93,1574277284600.0
29,-10123,-3768,-30709,-538,179,100,1574277284600.0
30,-10142,-3790,-30705,-531,119,121,1574277284600.0
31,-10168,-3788,-30664,-571,103,161,1574277284600.0
32,-10169,-3755,-30693,-614,97,193,1574277284600.0
33,-10270,-3743,-30669,-591,121,190,1574277284600.0
34,-10213,-3693,-30596,-494,152,166,1574277284600.0
35,-10165,-3700,-30567,-423,197,100,1574277284600.0
36,-10161,-3736,-30592,-335,257,65,1574277284600.0
37,-10134,-3840,-30622,-217,274,56,1574277284600.0
38,-10101,-3819,-30562,-98,280,72,1574277284600.0
39,-10084,-3839,-30577,9,307,68,1574277284600.0
40,-10110,-3772,-30612,108,332,92,1574277284600.0
41,-10106,-3711,-30605,164,359,112,1574277284600.0
42,-10103,-3524,-30589,165,365,124,1574277284600.0
43,-9980,-3460,-30685,31,347,142,1574277284600.0
44,-10012,-3543,-30683,-159,326,150,1574277284600.0
45,-10033,-3748,-30712,-249,282,135,1574277284600.0
46,-10031,-3786,-30628,-203,255,110,1574277284600.0
47,-10026,-3803,-30634,-107,263,86,1574277284600.0
48,-10007,-3710,-30720,-66,267,73,1574277284600.0
49,-10009,-3653,-30686,-96,258,91,1574277284600.0
50,-10060,-3726,-30664,-130,239,90,1574277284600.0
51,-10090,-3808,-30711,-95,227,34,1574277284600.0
52,-10099,-3822,-30675,-22,238,-28,1574277284600.0
53,-10060,-3842,-30680,20,275,-46,1574277284600.0
54,-10082,-3799,-30692,42,288,-41,1574277284600.0
55,-10080,-3794,-30690,62,277,-4,1574277284600.0
56,-10071,-3869,-30802,98,259,-10,1574277284600.0
57,-10080,-3940,-30821,150,256,-18,1574277284600.0
58,-10129,-3874,-30793,169,238,-37,1574277284600.0
59,-10126,-3820,-30731,155,222,-32,1574277284600.0
60,-10172,-3777,-30752,106,194,-12,1574277284893.0
61,-10203,-3757,-30751,6,171,26,1574277284893.0
62,-10223,-3723,-30694,-102,177,67,1574277284893.0
63,-10267,-3704,-30693,-230,196,61,1574277284893.0
64,-10312,-3732,-30743,-306,206,37,1574277284893.0
65,-10245,-3800,-30722,-295,215,-14,1574277284893.0
66,-10239,-3794,-30712,-209,229,-80,1574277284893.0
67,-10261,-3852,-30691,-132,272,-122,1574277284893.0
68,-10241,-3921,-30712,-65,298,-119,1574277284893.0
69,-10212,-3967,-30643,-11,314,-73,1574277284893.0
70,-10185,-3987,-30620,5,339,-3,1574277284893.0
71,-10193,-3921,-30696,15,372,78,1574277284893.0
72,-10187,-3831,-30737,29,375,99,1574277284893.0
73,-10114,-3879,-30753,71,344,69,1574277284893.0
74,-10083,-3883,-30732,108,317,38,1574277284893.0
75,-10037,-3860,-30655,158,304,6,1574277284893.0
76,-10068,-3838,-30666,200,317,-10,1574277284893.0
77,-10039,-3776,-30632,212,323,-22,1574277284893.0
78,-10039,-3761,-30684,192,327,-31,1574277284893.0
79,-9946,-3754,-30653,135,333,-53,1574277284893.0
80,-9959,-3801,-30666,21,319,-56,1574277284893.0
